Campaign,Campaign ID,af_purchase,,,rebill,,
,,Event Counter,Average Daily Unique Users,Revenue,Event Counter,Average Daily Unique Users,Revenue
duxgroup_927_19885_47622_IN_android_TM_unimnskfb927,23858142173870299,1,1,"100,00 $",N/A,N/A,N/A
duxgroup_926_19885_47622_IN_android_ALEX_unimnskfb926,23857347390570107,2,2,"200,00 $",N/A,N/A,N/A
duxgroup_926_19885_47622_IN_android_ALEX_unimnskfb926,23857401697210107,1,1,"100,00 $",N/A,N/A,N/A
duxgroup_926_19885_47622_IN_android_ALEX_unimnskfb926,23857428074340107,2,2,"200,00 $",N/A,N/A,N/A
duxgroup_920_19885_47622_IN_android_offer_unimnskfb920,23857859307350537,2,2,"200,00 $",N/A,N/A,N/A
duxgroup_920_19885_47622_IN_android_offer_unimnskfb920,23857861522410537,3,3,"300,00 $",N/A,N/A,N/A
duxgroup_920_19885_47622_IN_android_offer_unimnskfb920,23857781302830537,1,1,"100,00 $",N/A,N/A,N/A
duxgroup_920_19885_47622_IN_android_offer_unimnskfb920,23857779455740537,3,3,"300,00 $",N/A,N/A,N/A
duxgroup_920_19885_47622_IN_android_offer_unimnskfb920,23857859298170537,1,1,"100,00 $",N/A,N/A,N/A
closingspace_287_17742_47622_IN_OS_offer_unionfb287,23857400326380726,24,24,"2 400,00 $",N/A,N/A,N/A
closingspace_287_17742_47622_IN_OS_offer_unionfb287,23857400316310726,16,16,"1 600,00 $",N/A,N/A,N/A
closingspace_269_androidid_47622_IN_android_Budgetobshii_unionfb269,23858209841550615,5,5,"500,00 $",N/A,N/A,N/A
closingspace_269_androidid_47622_IN_android_Budgetobshii_unionfb269,23858209884860615,3,3,"300,00 $",N/A,N/A,N/A
closingspace_269_androidid_47622_IN_android_android_unionfb269,23857909692050615,11,11,"1 100,00 $",N/A,N/A,N/A
closingspace_269_androidid_47622_IN_android_android_unionfb269,23857909692330615,16,16,"1 600,00 $",N/A,N/A,N/A
closingspace_259_19883_47622_IN_android_A1_unionfb259,23857116511600664,22,22,"2 200,00 $",N/A,N/A,N/A
closingspace_253_8423_47622_IN_android_lucky_unionfb253,23856855348840100,2,2,"200,00 $",N/A,N/A,N/A
closingspace_253_8423_47622_IN_android_lucky_unionfb253,23856514699600100,1,1,"100,00 $",N/A,N/A,N/A
closingspace_253_8423_47622_IN1_android_lucky_unionfb253,23856573545080100,1,1,"100,00 $",N/A,N/A,N/A
closingspace_244_8423_47622_IN_android_men_unionfb244,23856754914670723,32,32,"3 200,00 $",N/A,N/A,N/A
closingspace_244_8423_47622_IN_android_men_unionfb244,23858319451470133,16,16,"1 600,00 $",1,1,"100,00 $"
closingspace_244_8423_47622_IN_android_men_unionfb244,23857237715740769,18,18,"1 800,00 $",N/A,N/A,N/A
closingspace_244_8423_47622_IN_android_men_unionfb244,23854958676020464,1,1,"100,00 $",N/A,N/A,N/A
closingspace_244_8423_47622_IN_android_march_unionfb244,23857695867520540,40,40,"4 000,00 $",2,2,"200,00 $"
closingspace_222_8423_47622_IN_android_lucky_unionfb222 — Копия,23858770917940408,4,4,"400,00 $",N/A,N/A,N/A
closingspace_222_8423_47622_IN_android_lucky_unionfb222,23858770400460408,7,7,"700,00 $",N/A,N/A,N/A
closingspace_203_8423_47622_IN_android_3_unionfb203,23857569918090205,6,6,"600,00 $",N/A,N/A,N/A
closingspace_203_8423_47622_IN_android_2_unionfb203,23857361202290205,15,15,"1 500,00 $",N/A,N/A,N/A
closingspace_203_8423_47622_IN_android_1_unionfb203,23856898485200205,5,5,"500,00 $",N/A,N/A,N/A
closingspace_202_19883_47622_IN_android_LesyaCampaign_unionfb202,23857271378250100,1,1,"100,00 $",N/A,N/A,N/A
