Campaign,Campaign ID,af_purchase,,
,,Event Counter,Average Daily Unique Users,Revenue
closingspace_287_17742_47622_IN_OS_offer_unionfb287,23857400326380726,29,29,"2 900,00 $"
duxgroup_922_19885_47622_IN_android_AK47_unimnskfb922,23856901550280407,17,17,"1 700,00 $"
closingspace_244_8423_47622_IN_android_andr9_unionfb244,23858201694450540,22,22,"2 200,00 $"
closingspace_244_8423_47622_IN_android_men_unionfb244,23857237715740769,15,15,"1 500,00 $"
closingspace_253_8423_47622_IN_OS_offer_unionfb253,23858835971670295,9,9,"900,00 $"
closingspace_244_8423_47622_IN_android_andr9_unionfb244,23858357848260769,10,10,"1 000,00 $"
closingspace_222_8423_47622_IN_android_lucky_unionfb222 — Копия,23858770917920408,8,8,"800,00 $"
closingspace_222_8423_47622_IN_android_lucky_unionfb222,23858770400460408,5,5,"500,00 $"
closingspace_203_8423_47622_IN_android_1B3_unionfb203,23857688268760365,16,16,"1 600,00 $"
closingspace_244_8423_47622_IN_android_march_unionfb244,23857695867520540,8,8,"800,00 $"
closingspace_253_8423_47622_IN_OS_m_unionfb253,23858894519070295,6,6,"600,00 $"
closingspace_222_8423_47622_IN_android_lucky_unionfb222 — Копия,23858770917930408,2,2,"200,00 $"
closingspace_222_8423_47622_IN_android_lucky_unionfb222 — Копия,23858770917940408,3,3,"300,00 $"
closingspace_287_17742_47622_IN_OS_offer_unionfb287,23857400316310726,5,5,"500,00 $"
closingspace_287_17742_47622_IN_OS_offer_unionfb287,23858622981590726,4,4,"400,00 $"
closingspace_244_8423_47622_IN_android_men_unionfb244,23858319451470133,3,3,"300,00 $"
duxgroup_920_19885_47622_IN_android_offer_unimnskfb920,23859276531910070,1,1,"100,00 $"
duxgroup_926_19885_47622_IN_android_ALEX_unimnskfb926,23857844867550107,1,1,"100,00 $"
closingspace_253_8423_47622_IN_OS_men_unionfb253,23857598574890763,2,2,"200,00 $"
closingspace_253_8423_47622_IN_OS_offer_unionfb253,23857598147570763,5,5,"500,00 $"
closingspace_244_8423_47622_IN_android_men_unionfb244,23854958676020464,4,4,"400,00 $"
duxgroup_920_19885_47622_IN_android_offer_unimnskfb920,23858194966240537,1,1,"100,00 $"
closingspace_244_8423_47622_IN_android_men_unionfb244,23856754914670723,1,1,"100,00 $"
closingspace_259_19883_47622_IN_android_A1_unionfb259,23857116511600664,2,2,"200,00 $"
duxgroup_920_19885_47622_IN_android_offer_unimnskfb920,23859276540660070,1,1,"100,00 $"
closingspace_203_8423_47622_IN_android_1_unionfb203,23856898485200205,3,3,"300,00 $"
duxgroup_926_19885_47622_IN_android_ALEX_unimnskfb926,23858021162540107,1,1,"100,00 $"
duxgroup_920_19885_47622_IN_android_offer_unimnskfb920,23857859307350537,2,2,"200,00 $"
duxgroup_920_19885_47622_IN_android_offer_unimnskfb920,23858820455230537,1,1,"100,00 $"
duxgroup_926_19885_47622_IN_android_ALEX_unimnskfb926,23857523492850107,1,1,"100,00 $"
duxgroup_927_19885_47622_IN_android_TM_unimnskfb927,23858142460830299,1,1,"100,00 $"
duxgroup_926_19885_47622_IN_android_ALEX_unimnskfb926,23857566333470107,1,1,"100,00 $"
closingspace_269_androidid_47622_IN_android_Budgetobshii_unionfb269,23858209841550615,1,1,"100,00 $"
duxgroup_926_19885_47622_IN_android_ALEX_unimnskfb926,23857801595710107,1,1,"100,00 $"
duxgroup_920_19885_47622_IN_android_offer_unimnskfb920,23857779455740537,1,1,"100,00 $"
duxgroup_920_17796_47622_IN_android_offer_unimnskfb920,23856538777320537,1,1,"100,00 $"
closingspace_253_8423_47622_IN_android_lucky_unionfb253,23856514699600100,1,1,"100,00 $"
closingspace_203_8423_47622_IN_android_3_unionfb203,23857569918090205,1,1,"100,00 $"
closingspace_253_8423_47622_IN2_android_lucky_unionfb253,23856573552580100,1,1,"100,00 $"
closingspace_269_androidid_47622_IN_android_android_unionfb269,23857909692030615,1,1,"100,00 $"
